doc_id,year,source,paragraph_id,text,keyword_hit
tr_2006_ulusa_seslenis,2006,ulusa_seslenis,451,"Türkiye, önüne çıkarılan engelleri bir bir aşarak aynı kararlılıkla yoluna devam edecek, Yeni Türkiye Vizyonu | Efendi Değil Hizmetkar Olmak-4 75 dünyanın en güçlü ekonomileri arasında yerini alacaktır. Bu kalkınma mücadelesini, bu ilerleme yarışını mutlaka kazanacaktır. Sevgili Vatandaşlarım...",0
tr_2005_ulusa_seslenis,2005,ulusa_seslenis,46,"Artık bu ülkede yaşayan herkes bu yeni duruma alışmak, kötümserliği terk etmek, milletimizin gelecek heyecanını ayniyle paylaşmak zorundadır. Geçmişte sıkça görülen yap-boz politikaları, istikrarsızlık, güvensizlik, belirsizlik tamamen sona ermiştir. Türkiye'ye artık güçlü bir hükümet, güçlü bir ekonomi, kararlılık, istikrar ve disiplin hakimdir."" Erdoğan, bunun en somut kanıtlarından birinin de Türkiye'nin dış ticaretinde gerçekleştirdikleri büyük sıçrama olduğunu belirtti.",0
tr_2015_akp_oct_6_secim_beyannamesi,2015,akp_oct_6_secim_beyannamesi,1229,"Afet Yönetim ve Karar Destek Sistemi Projesi (AYDES) ile; Bütünleşik afet yönetiminin tüm aşamalarını elektronik ortamda takip edip, yönetebileceğimiz coğrafi bilgi sistemi tabanlı bir karar destek sistemi oluşturma yolunda; olay komuta modülünün ilk aşamasını tamamladık ve kullanıma sunduk. Irk, din, dil, ayrımı gözetmeden insani yardım yapıyoruz. Suriye ve Irak başta olmak üzere insani dramı olan kardeşlerimize kapımızı, gönlümüz ve soframızı açıyoruz.",1
tr_2006_ulusa_seslenis,2006,ulusa_seslenis,538,"Sözümüzde de durduk. SEKA arazisi için dinlence amaçlı, sosyal amaçlı projeler hazırladık. O günden bu yana iki yıla yakın bir zaman geçti.",1
tr_2002_akp_june_6_secim_beyannamesi,2002,akp_june_6_secim_beyannamesi,75,"46 2002 YOLUNDA AK PARTİ SEÇİM BEYANNEMELERİ YÖNETİMİN YENİDEN YAPILANDIRILMASI 49 2002 YOLUNDA AK PARTİ SEÇİM BEYANNEMELERİ YÖNETİMİN YENİDEN YAPILANDIRILMASI V. YÖNETİMİN YENİDEN YAPILANDIRILMASI A- DEVLETİN DEĞİŞEN ROLÜ Küreselleşme ve bilgi toplumuna dönük gelişmeler, geleneksel devlet ve yönetim yaklaşımlarını büyük ölçüde geçersiz hale getirmektedir. Devletin toplum üzerindeki geleneksel kontrol ve müdahalesi azalmakta, yerel ve uluslar üstü düzeylerde çok aktörlü politikalar oluşturulmaktadır.",0
tr_2011_chp_secim_beyannamesi,2011,chp_secim_beyannamesi,256,"olmak üzere kadın hakları alanında taraf olduğumuz tüm uluslararası • Burslarda, parasız yatılı okullarda kız çocuklara kota ve kontenjan artırımı sözleşmelerin, toplumsal yaşama ve hukuk sistemimize yansıtılmasını uygulayacağız. sağlayacağız. • Her semtte Halk Eğitim Merkezi ya da Çok Amaçlı Toplum Merkezi kurarak, kadınların becerilerini artıracak, iş bulma imkanlarını geliştireceğiz.",0
tr_2015_akp_oct_6_secim_beyannamesi,2015,akp_oct_6_secim_beyannamesi,280,"Talep eden her öğrenciye öğrenim kredisi sağlanması uygulamasına geçtik. Kredi ve burs miktarlarını da 2002 yılındaki 45 TL'den, 2015 yılında 330 TL'ye yükselttik. Üniversite harçlarını kaldırdık.",0
tr_2014_akp_june_5_secim_beyannamesi,2014,akp_june_5_secim_beyannamesi,393,"Kent yoksulluğunun önüne geçilecek. Ev kadınları düzenlediğimiz kurslara katılarak, geleneksel-yöresel ürün üretimiyle üretime katılacaklar, turizm kazanacak, ticaret kazanacak, insanımız kazanacak, şehirlerimiz kazanacak. ALT YAPI HİZMETLERİ Son yarım yüzyılda büyük şehirlere yönelen aşırı göç nedeniyle, kentlerimizin alt yapı kapasiteleri yetersiz kalmış, yerel yönetimlerin kaynakları alt yapı ihtiyacını karşılayamaz hale gelmiştir.",1
tr_2005_ulusa_seslenis,2005,ulusa_seslenis,162,"Bölgesel adaletsizliklerin giderilmesi için, haksız rekabetin azalması için var gücümüzle çalışıyoruz. Türkiye'yi eksi büyümeden yani düpedüz küçülmeden, 29 Recep Tayyip ERDOĞAN yüzde 10 büyüme düzeyine çıkardığımız gibi, işsizliği de kademe kademe çözeceğiz. Biliyorsunuz, 2003 yılından itibaren başlayan ekonomik büyüme, verimlilik artışına dayalı olarak gerçekleşti.",1
tr_2002_akp_june_6_secim_beyannamesi,2002,akp_june_6_secim_beyannamesi,79,"Demokratik kurallara göre işlemeyen verimsiz kamu yönetimi sistemimiz, devlet ile halk arasında güven bunalımı doğurmaktadır. Demokratik bir devlet anlayışı ile rekabetçi bir piyasa arasında tamamlayıcılık ilişkisi bulunmaktadır. Toplumların temel ihtiyaçlarının karşılanmasında, devlet, piyasa ve sivil toplum iş birliği kaçınılmaz hale gelmiştir.",1
