doc_id,year,source,paragraph_id,text,keyword_hit
tr_2015_akp_oct_6_secim_beyannamesi,2015,akp_oct_6_secim_beyannamesi,1229,"Afet Yönetim ve Karar Destek Sistemi Projesi (AYDES) ile; Bütünleşik afet yönetiminin tüm aşamalarını elektronik ortamda takip edip, yönetebileceğimiz coğrafi bilgi sistemi tabanlı bir karar destek sistemi oluşturma yolunda; olay komuta modülünün ilk aşamasını tamamladık ve kullanıma sunduk. Irk, din, dil, ayrımı gözetmeden insani yardım yapıyoruz. Suriye ve Irak başta olmak üzere insani dramı olan kardeşlerimize kapımızı, gönlümüz ve soframızı açıyoruz.",1
tr_2006_ulusa_seslenis,2006,ulusa_seslenis,538,"Sözümüzde de durduk. SEKA arazisi için dinlence amaçlı, sosyal amaçlı projeler hazırladık. O günden bu yana iki yıla yakın bir zaman geçti.",1
tr_2014_akp_june_5_secim_beyannamesi,2014,akp_june_5_secim_beyannamesi,393,"Kent yoksulluğunun önüne geçilecek. Ev kadınları düzenlediğimiz kurslara katılarak, geleneksel-yöresel ürün üretimiyle üretime katılacaklar, turizm kazanacak, ticaret kazanacak, insanımız kazanacak, şehirlerimiz kazanacak. ALT YAPI HİZMETLERİ Son yarım yüzyılda büyük şehirlere yönelen aşırı göç nedeniyle, kentlerimizin alt yapı kapasiteleri yetersiz kalmış, yerel yönetimlerin kaynakları alt yapı ihtiyacını karşılayamaz hale gelmiştir.",1
tr_2005_ulusa_seslenis,2005,ulusa_seslenis,162,"Bölgesel adaletsizliklerin giderilmesi için, haksız rekabetin azalması için var gücümüzle çalışıyoruz. Türkiye'yi eksi büyümeden yani düpedüz küçülmeden, 29 Recep Tayyip ERDOĞAN yüzde 10 büyüme düzeyine çıkardığımız gibi, işsizliği de kademe kademe çözeceğiz. Biliyorsunuz, 2003 yılından itibaren başlayan ekonomik büyüme, verimlilik artışına dayalı olarak gerçekleşti.",1
tr_2002_akp_june_6_secim_beyannamesi,2002,akp_june_6_secim_beyannamesi,79,"Demokratik kurallara göre işlemeyen verimsiz kamu yönetimi sistemimiz, devlet ile halk arasında güven bunalımı doğurmaktadır. Demokratik bir devlet anlayışı ile rekabetçi bir piyasa arasında tamamlayıcılık ilişkisi bulunmaktadır. Toplumların temel ihtiyaçlarının karşılanmasında, devlet, piyasa ve sivil toplum iş birliği kaçınılmaz hale gelmiştir.",1
tr_2014_akp_june_5_secim_beyannamesi,2014,akp_june_5_secim_beyannamesi,442,"136 2014 YOLUNDA AK PARTİ SEÇİM BEYANNAMELERİ Ülke genelinde tapu ve kadastro bilgilerinin bilgisayar ortamına aktarılması ve bu bilgiler üzerinden her türlü sorgulama ve tapu işlemlerinin elektronik ortamda anlık olarak yapılabilmesini amaçlayan e-Devlet projelerinden birisi olan “Tapu Kadastro Bilgi Sistemi”nin (TAKBİS) tapu bileşeni tamamlanmıştır. Ayrıca müdürlüklerimizde yapılan sıramatik uygulaması ile vatandaşlarımızın gereksiz yere beklemeleri ve işlem sırası ile ilgili oluşabilecek karmaşaların önüne geçilmiştir. Tapu ve Kadastro Genel Müdürlüğümüz hizmet sunumunda ortaya çıkabilecek aksaklıkları en aza indirmek, hizmetlerimize ilişkin vatandaşlarımızı bilgilendirmek amacıyla Alo Tapu (444 8278) hizmet hattını faaliyete geçirmiştir.",1
tr_2010_ulusa_seslenis,2010,ulusa_seslenis,169,"Sizin emanetinize yedi buçuk yıl boyunca gözümüz gibi baktık ve o şekilde yolumuza devam edeceğiz. Yeniden buluşmak, yeniden hasret gidermek dileğiyle ailenizle, sevdiklerinizle birlikte, huzur dolu, bereketli günler temenni ediyor, sizleri muhabbetle selamlıyorum. Kalın sağlıcakla...",1
tr_2004_ulusa_seslenis,2004,ulusa_seslenis,316,"Çok zorluklar yaşamış, çok badireler atlatmış, çok şey görüp geçirmiş bir millet olmanın kazandırdığı o büyük tecrübeyle, Türkiye için hayırlı olan yol ne tarafa gidiyorsa samimiyetle o tarafa yöneleceksiniz. Bu ülkenin Başbakanı olarak, hizmet etmekten şeref duyduğum bu yüce milletin sağduyusuna sonuna kadar inandığımı açıkça ifade etmek istiyorum. Biliyorum ki bu büyük millet, dünya tarihinin yeni sayfalarında hak ettiği medeniyet seviyesini yakalamakla kalmayacak, özünde taşıdığı hakkaniyet duygusuyla dünyaya da örnek olacaktır."" Güzel tarih sayfalarının bugünden yazılmaya başlandığına ve tarihe düşülen her yeni paragrafla birlikte Türkiye'nin yıldızının daha fazla parlayacağına bütün benliğiyle ve bütün kalbiyle inandığını vurgulayan Erdoğan, 17 Aralık'la başlayan dönemin Türkiye'ye önemli kazanımlar sağlayacağını söyledi.",1
tr_2007_akp_june_6_secim_beyannamesi,2007,akp_june_6_secim_beyannamesi,315,"Kuracağımız Merkezi Bilgi Sistemi ile değişik kurumlarımızın sahip olduğu tüm bilgiler bir araya getirilecektir. Çalışan nüfus, yaşlılar, özürlüler, yoksul kesimler gibi değişik statü ve özellikteki insanımıza dönük olarak kurumlarımızın hizmetleri daha etkin bir organizasyon ve koordinasyon içinde yürütülecektir. 100 2007 YOLUNDA AK PARTİ SEÇİM BEYANNEMELERİ İnsanımızın gelir durumu ve geçim şartlarını da içeren Adrese Dayalı Nüfus Kayıt Sistemi, sosyal yardımlaşma ve dayanışma kapsamında üretilen envanter ve yoksulluk profili tespitine dönük çalışmalar birleştirilecektir.",1
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,249,"• Elektrik tüketiminde alınan kayıp kaçak ve sayaç okuma bedellerinin, abonelere doğrudan iadesini sağlayacağız. TÜKETİCİ SAĞLIĞI • Genetik yapısı değiştirilmiş ürünlerin (GDO) ithalatı, üretimi ve tüketiminde mevzuatı AB standartları ile uyumlu hale getirecek ve kararlılıkla uygulayacağız. • Çocuklarımızın okullarda dengeli, yeterli ve sağlıklı beslenmesine yönelik gerekli önlemleri acilen alacağız, denetimini sağlayacağız.",1
tr_2007_akp_june_6_secim_beyannamesi,2007,akp_june_6_secim_beyannamesi,370,"• Dar gelirli ailelerin çocukları başta olmak üzere gençlerin gezi faaliyetlerinden ve yaz kamplarından ücretsiz yararlanmasını sağladık. • Gençlerin ve çocukların şiddete eğiliminin engellenmesi amacıyla Meclis Araştırma Komisyonu kurduk ve etkin bir şekilde çalışmasını sağladık. 113 2007 YOLUNDA AK PARTİ SEÇİM BEYANNEMELERİ Üretken, karar verebilen, bilgiyi doğru kullanan, bilgi ve iletişim teknolojilerine yatkın genç nesillerin, ülkemizin yenilikçilik kapasitesine katkı sağlaması stratejik öneme sahiptir.",1
tr_2011_akp_june_5_secim_beyannamesi,2011,akp_june_5_secim_beyannamesi,609,"1000 yeni girişimciye 20 163 2011 YOLUNDA AK PARTİ SEÇİM BEYANNEMELERİ milyon TL destek sağlanacaktır. Yeni girişimcilere iş ortamı sağlamak üzere 15 yeni İş Geliştirme Merkezi kurulacaktır. Gençlik Gençlerimiz bugünün dinamosu, yarının ise güvencesidir.",1
tr_2014_akp_june_5_secim_beyannamesi,2014,akp_june_5_secim_beyannamesi,256,"Avrupa Yol Bisikleti Şampiyonası 2010'da Ankara'da, Dünya Deniz Küreği Şampiyonası 2010 'da İstanbul'da, 2010 Sezonu Dünya Ralli Şampiyonası İstanbul'da, 2007'de “1. Karadeniz Oyunları” ve 2011'de “Avrupa Olimpik Gençlik Festivali ise Trabzon'da başarıyla düzenlendi. İstanbul 14.",1
tr_2015_akp_oct_6_secim_beyannamesi,2015,akp_oct_6_secim_beyannamesi,314,"Sağlıklı Nesiller AK Parti olarak, insan merkezli anlayışının bir gereği olarak, fiziken ve ruhen sağlıklı nesillerin yetişmesini öncelikli görmekteyiz. Sağlıklı nesillerin yetiştirilmesini, aynı zamanda kalkınmada beşeri sermayenin oluşumu için de bir gereklilik olarak görüyoruz. Sağlık alanında hizmet standardının sürdürülebilirliğini sağlamak, yeni reformlarla hizmet kalitesini arttırmak, başta yoksul kesimler olmak üzere hizmeti vatandaşlarımızın ayağına götürmek temel amacımızdır.",1
